"Source:","C:/m/Checkouts_HW/SCAR001_DC_LISN/DC_LISN.sch"
"Date:","03.12.2017 22:20:55"
"Tool:","Eeschema 4.0.7"
"Generator:","C:/Program Files/KiCad/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","53"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","4.7uF","C","MST_Lib:C_1210","Unpolarized capacitor",""
"C2, ","1","27uF","CP","MST_Lib:C_Alu_Radial_D8.0mm_P3.50mm","Polarised capacitor",""
"C4, C3, ","2","470nF","C","MST_Lib:C_0805","Unpolarized capacitor",""
"C5, C6, C7, ","3","100nF","C","MST_Lib:C_1206","Unpolarized capacitor",""
"L1, L2, L3, L4, L6, ","5","1.1uH","L","MST_Lib:L_Wuerth_744314110","Inductor",""
"L5, ","1","1mH","L","MST_Lib:L_1210","Inductor",""
"M1, M2, M3, M4, ","4","MountingHole","MountingHole","MST_Lib:M_MountingHole_3.5mm_Pad_Via","Mounting hole",""
"R1, ","1","825R","R","MST_Lib:R_0603","Resistor",""
"R2, ","1","909R","R","MST_Lib:R_0603","Resistor",""
"R3, ","1","12.1R","R","MST_Lib:R_0603","Resistor",""
"R4, ","1","243R","R","MST_Lib:R_0603","Resistor",""
"R5, R8, R11, R12, R13, ","5","261R","R","MST_Lib:R_0603","Resistor",""
"R6, ","1","274R","R","MST_Lib:R_0603","Resistor",""
"R7, ","1","30.1R","R","MST_Lib:R_0603","Resistor",""
"R15, R14, R10, R9, ","4","432R","R","MST_Lib:R_0603","Resistor",""
"R16, ","1","18.2R","R","MST_Lib:R_0603","Resistor",""
"R17, ","1","562R","R","MST_Lib:R_0603","Resistor",""
"R18, ","1","619R","R","MST_Lib:R_0603","Resistor",""
"TP1, TP6, ","2","TEST","TEST","MST_Lib:TP_1mm","Testpoint, connection for test equipment",""
"TP2, TP3, TP4, TP5, ","4","TEST","TEST","MST_Lib:TP_MillMax_2501","Testpoint, connection for test equipment",""
"V4, V3, V2, V1, ","4","1N4148W","D","MST_Lib:V_SOD-123","Diode",""
"X1, X8, ","2","PCB.SMAFRA.HT","Conn_Coaxial","MST_Lib:X_SMA_THT_Jack_Straight_PCB.SMAFRA.HT","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, ...)",""
"X2, X3, ","2","B8B-EH-A","Conn_01x08","MST_Lib:X_JST_EH_B08B-EH-A_08x2.50mm_Straight","Generic connector, single row, 01x08",""
"X4, X5, X6, X7, ","4","575-4","Conn_01x01","MST_Lib:X_Keystone_575-4","Generic connector, single row, 01x01",""
